# Alunos
Nome,CPF,Senha,DataMatricula,Planos
João Silva,12345678901,senha123,2024-01-01,2
Maria Oliveira,98765432100,senha456,2024-03-15,1
Pedro Almeida,12312312312,senha111,2024-02-20,2
Larissa Costa,32132132132,senha222,2024-01-10,3
Renato Lima,45645645645,senha333,2024-04-01,1
Beatriz Nunes,65465465465,senha444,2024-03-22,2
Vinícius Souza,78978978978,senha555,2024-02-05,3
Camila Ribeiro,98798798798,senha666,2024-04-12,1
Thiago Santos,14714714714,senha777,2024-01-28,2
Aline Martins,36936936936,senha888,2024-03-07,1
