aluno,data,personal,descricao
João Silva,2024-01-01,Ana Souza,Condicionamento
Maria Oliveira,2024-03-15,Marco Antonio,Postura
Pedro Almeida,2024-02-10,Carlos Mendes,Cardio
Larissa Costa,2024-04-05,Ana Souza,Desempenho
Renato Lima,2024-01-22,Marco Antonio,Equilibrio
Beatriz Nunes,2024-03-30,Ana Souza,Iniciante
Vinícius Souza,2024-02-18,Carlos Mendes,Respiração
Camila Ribeiro,2024-04-12,Marco Antonio,Mobilidade
Thiago Santos,2024-01-28,Ana Souza,Evolução
Aline Martins,2024-03-02,Carlos Mendes,Funcional
João Silva,2024-04-10,Ana Souza,Peso
Maria Oliveira,2024-05-20,Marco Antonio,Pilates
Pedro Almeida,2024-05-05,Carlos Mendes,Elásticos
Larissa Costa,2024-06-01,Ana Souza,Metas
Renato Lima,2024-04-25,Marco Antonio,Coordenação
Beatriz Nunes,2024-05-15,Ana Souza,HIIT
Vinícius Souza,2024-05-08,Carlos Mendes,Avanço
Camila Ribeiro,2024-06-03,Marco Antonio,Estabilidade
Thiago Santos,2024-04-30,Ana Souza,Hipertrofia
Aline Martins,2024-05-18,Carlos Mendes,Resistência
